No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
790,The Imitation Game (2014),2014,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",The Weinstein Company,91,142,234,PG
791,Save the Last Dance (2001),2001,"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.",Paramount Pictures,91,41,132,PG
792,The Scorpion King (2002),2002,"A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown.",Universal Pictures,91,90,181,PG-13
793,Prince of Persia: The Sands of Time (2010),2010,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,Walt Disney Studios Motion Pictures,91,246,336,PG-13
794,Antz (1998),1998,A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.,DreamWorks Distribution,91,81,172,PG
795,Scary Movie 4 (2006),2006,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",Dimension Films,91,88,178,PG-13
796,The Game Plan (2007),2007,An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.,Walt Disney Studios Motion Pictures,91,57,148,PG
797,"Me, Myself & Irene (2000)",2000,A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,Twentieth Century Fox,91,59,149,R
798,High School Musical 3: Senior Year (2008),2008,"As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future.",Walt Disney Studios Motion Pictures,91,162,253,PG
799,Madea Goes to Jail (2009),2009,"Mischievous grandma Madea lands in jail, where she meets a variety of mixed-up characters.",Lionsgate,91,91,91,PG
800,Space Cowboys (2000),2000,"When retired engineer Frank Corvin (Clint Eastwood) is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",Warner Bros.,90,38,129,PG-13
801,Space Jam (1996),1996,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",Warner Bros.,90,140,230,PG
802,Get Hard (2015),2015,"When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",Warner Bros.,90,21,112,R
803,RED (2010),2010,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.",Summit Entertainment,90,109,199,PG-13
804,Planes (2013),2013,A cropdusting plane with a fear of heights lives his dream of competing in a famous around-the-world aerial race.,Walt Disney Studios Motion Pictures,90,149,239,PG
805,"Legally Blonde 2: Red, White & Blonde (2003)",2003,"Elle Woods heads to Washington, D.C. to join the staff of a Representative in order to pass a bill to ban animal testing.",Metro-Goldwyn-Mayer (MGM),90,35,125,PG-13
806,Mystic River (2003),2003,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,Warner Bros.,90,66,157,R
807,Terminator Genisys (2015),2015,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",Paramount Pictures,90,351,441,PG-13
808,Flightplan (2005),2005,"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.",Walt Disney Studios Motion Pictures,90,134,223,PG
809,The Emperor's New Groove (2000),2000,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",Walt Disney Studios Motion Pictures,90,80,170,PG
810,The Lone Ranger (2013),2013,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",Walt Disney Studios Motion Pictures,89,171,261,PG-13
811,Taken 3 (2014),2014,"Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name.",Twentieth Century Fox,89,237,326,PG-13
812,Don't Breathe (2016),2016,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",Screen Gems,89,69,158,R
813,Scream 3 (2000),2000,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",Dimension Films,89,73,162,R
814,Oblivion (2013),2013,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,Universal Pictures,89,197,286,PG-13
815,The Ugly Truth (2009),2009,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.,Sony Pictures Entertainment (SPE),89,233,322,R
816,Percy Jackson & the Olympians: The Lightning Thief (2010),2010,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,Twentieth Century Fox,89,138,226,PG
817,Failure to Launch (2006),2006,A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.,Paramount Pictures,89,42,130,PG-13
