No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
183,Kung Fu Panda (2008),2008,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",DreamWorks,215,416,632,PG
184,Mission: Impossible II (2000),2000,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",Paramount Pictures,215,331,546,PG-13
185,A Star Is Born (2018),2018,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Warner Bros.,215,221,436,R
186,X2: X-Men United (2003),2003,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",Twentieth Century Fox,215,193,408,PG-13
187,The Lorax (2012),2012,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",Universal Pictures,214,135,349,PG
188,Solo: A Star Wars Story (2018),2018,"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.",Walt Disney Studios Motion Pictures,214,179,393,PG-13
189,Venom (2018),2018,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Sony Pictures Entertainment (SPE),214,643,856,PG-13
190,Austin Powers in Goldmember (2002),2002,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",New Line Cinema,213,84,297,PG-13
191,Venom: Let There Be Carnage (2021),2021,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",Sony Pictures Entertainment (SPE),213,289,501,PG-13
192,It Chapter Two (2019),2019,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",Warner Bros.,212,262,473,R
193,Back to the Future (1985),1985,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Universal Pictures,211,171,382,PG
194,300 (2006),2006,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Warner Bros.,211,245,456,R
195,Coco (2017),2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Walt Disney Studios Motion Pictures,210,597,808,PG
196,Fast Five (2011),2011,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Universal Pictures,210,416,626,PG-13
197,Mission: Impossible - Ghost Protocol (2011),2011,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",Paramount Pictures,209,485,695,PG-13
198,Wedding Crashers (2005),2005,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",New Line Cinema,209,79,288,R
199,Sherlock Holmes (2009),2009,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Warner Bros.,209,315,524,PG-13
200,Dawn of the Planet of the Apes (2014),2014,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,Twentieth Century Fox,209,502,711,PG-13
201,Batman Begins (2005),2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Warner Bros.,207,167,374,PG-13
202,Charlie and the Chocolate Factory (2005),2005,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Warner Bros.,206,269,475,PG
203,Ratatouille (2007),2007,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,Walt Disney Studios Motion Pictures,206,417,624,PG
204,Thor: The Dark World (2013),2013,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",Walt Disney Studios Motion Pictures,206,438,645,PG-13
205,Bad Boys for Life (2020),2020,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,Sony Pictures Entertainment (SPE),206,220,427,R
206,Austin Powers: The Spy Who Shagged Me (1999),1999,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",New Line Cinema,206,106,312,PG-13
207,Terminator 2: Judgment Day (1991),1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",TriStar Pictures,206,312,521,R
208,The Amazing Spider-Man 2 (2014),2014,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",Sony Pictures Entertainment (SPE),203,506,709,PG-13
209,World War Z (2013),2013,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,Paramount Pictures,203,338,540,PG-13
210,The Mummy Returns (2001),2001,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",Universal Pictures,202,241,443,PG-13
211,Armageddon (1998),1998,"After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet.",Walt Disney Studios Motion Pictures,202,352,554,PG-13
212,Cinderella (2015),2015,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",Walt Disney Studios Motion Pictures,201,341,542,PG
213,Ralph Breaks the Internet (2018),2018,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",Walt Disney Studios Motion Pictures,201,328,529,PG
214,Tangled (2010),2010,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Walt Disney Studios Motion Pictures,201,392,592,PG
215,Godzilla (2014),2014,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",Warner Bros.,201,324,525,PG-13
216,Superman Returns (2006),2006,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",Warner Bros.,200,191,391,PG-13
217,Spectre (2015),2015,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.",Sony Pictures Entertainment (SPE),200,681,881,PG-13
218,Pearl Harbor (2001),2001,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,Walt Disney Studios Motion Pictures,199,251,449,PG-13
219,Monsters vs. Aliens (2009),2009,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.,DreamWorks,198,183,382,PG
220,Happy Feet (2006),2006,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",Warner Bros.,198,186,384,PG
221,Indiana Jones and the Last Crusade (1989),1989,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Paramount Pictures,197,277,474,PG-13
222,Ice Age: Dawn of the Dinosaurs (2009),2009,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",Twentieth Century Fox,197,690,887,PG
223,Ice Age: The Meltdown (2006),2006,"Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.",Twentieth Century Fox,195,472,667,PG
224,Mission: Impossible - Rogue Nation (2015),2015,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,Paramount Pictures,195,488,683,PG-13
225,Twilight (2008),2008,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",Summit Entertainment,194,214,408,PG-13
226,Men in Black II (2002),2002,Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.,Sony Pictures Entertainment (SPE),194,251,445,PG-13
227,Madagascar (2005),2005,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",DreamWorks Distribution,194,348,542,PG
228,22 Jump Street (2014),2014,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",Sony Pictures Entertainment (SPE),192,140,331,R
229,Cars 2 (2011),2011,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,Walt Disney Studios Motion Pictures,191,368,560,PG
230,Teenage Mutant Ninja Turtles (2014),2014,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",Paramount Pictures,191,294,485,PG-13
231,Spider-Man: Into the Spider-Verse (2018),2018,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Sony Pictures Entertainment (SPE),190,185,376,PG
232,Grease (1978),1978,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",Paramount Pictures,190,206,396,PG
233,Dunkirk (2017),2017,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Warner Bros.,190,337,527,PG-13
234,Wreck-It Ralph (2012),2012,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Walt Disney Studios Motion Pictures,189,282,471,PG
235,A Quiet Place (2018),2018,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",Paramount Pictures,188,153,341,PG-13
236,Interstellar (2014),2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Paramount Pictures,188,514,702,PG-13
237,The Polar Express (2004),2004,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Warner Bros.,188,126,314,PG
238,Gladiator (2000),2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,DreamWorks Distribution,188,278,465,R
239,The Croods (2013),2013,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",Twentieth Century Fox,187,400,587,PG
240,Sherlock Holmes: A Game of Shadows (2011),2011,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",Warner Bros.,187,357,544,PG-13
241,The Day After Tomorrow (2004),2004,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",Twentieth Century Fox,187,366,553,PG-13
242,Mr. & Mrs. Smith (2005),2005,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,Twentieth Century Fox,186,301,487,PG-13
243,Snow White and the Seven Dwarfs (1937),1937,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",Walt Disney Studios Motion Pictures,185,185,185,PG
244,Pitch Perfect 2 (2015),2015,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",Universal Pictures,184,103,287,PG-13
245,Dances with Wolves (1990),1990,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.",Orion Pictures,184,240,424,PG
246,Batman Forever (1995),1995,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Warner Bros.,184,152,337,PG-13
247,The Fugitive (1993),1993,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Warner Bros.,184,185,369,PG
248,Black Widow (2021),2021,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Walt Disney Studios Motion Pictures,184,196,380,PG-13
249,The Revenant (2015),2015,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Twentieth Century Fox,184,349,533,R
250,Ocean's Eleven (2001),2001,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Warner Bros.,183,267,451,PG-13
251,The Simpsons Movie (2007),2007,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",Twentieth Century Fox,183,353,536,PG-13
252,What Women Want (2000),2000,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",Paramount Pictures,183,191,374,PG-13
253,The Perfect Storm (2000),2000,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,Warner Bros.,183,146,329,PG-13
254,Lincoln (2012),2012,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Walt Disney Studios Motion Pictures,182,93,275,PG-13
255,Liar Liar (1997),1997,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.,Universal Pictures,181,121,303,PG
256,Jurassic Park III (2001),2001,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",Universal Pictures,181,188,369,PG-13
257,Thor (2011),2011,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Paramount Pictures,181,268,449,PG-13
258,Mission: Impossible (1996),1996,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",Paramount Pictures,181,277,458,PG-13
259,Ant-Man (2015),2015,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Walt Disney Studios Motion Pictures,180,339,519,PG-13
260,Planet of the Apes (2001),2001,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",Twentieth Century Fox,180,182,362,PG-13
261,Madagascar: Escape 2 Africa (2008),2008,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",DreamWorks,180,424,604,PG
262,X-Men Origins: Wolverine (2009),2009,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",Twentieth Century Fox,180,193,373,PG-13
263,Indiana Jones and the Temple of Doom (1984),1984,"In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.",Paramount Pictures,180,153,333,PG-13
264,Hitch (2005),2005,A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.,Sony Pictures Entertainment (SPE),179,192,372,PG-13
265,Men in Black 3 (2012),2012,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,Sony Pictures Entertainment (SPE),179,445,624,PG-13
266,Pretty Woman (1990),1990,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",Walt Disney Studios Motion Pictures,178,285,463,R
267,Home (2015),2015,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.",Twentieth Century Fox,177,209,386,PG
268,Night at the Museum: Battle of the Smithsonian (2009),2009,"Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",Twentieth Century Fox,177,236,413,PG
269,Tootsie (1982),1982,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",Columbia Pictures,177,177,177,PG
270,How to Train Your Dragon 2 (2014),2014,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Twentieth Century Fox,177,445,622,PG
271,Rise of the Planet of the Apes (2011),2011,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,Twentieth Century Fox,177,305,482,PG-13
272,Captain America: The First Avenger (2011),2011,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",Paramount Pictures,177,194,371,PG-13
273,Elf (2003),2003,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.",New Line Cinema,177,47,224,PG
274,The Karate Kid (2010),2010,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",Sony Pictures Entertainment (SPE),177,183,359,PG
275,There's Something About Mary (1998),1998,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",Twentieth Century Fox,176,193,370,R
276,Ice Age (2002),2002,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.",Twentieth Century Fox,176,207,383,PG
277,The Bourne Supremacy (2004),2004,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Universal Pictures,176,115,291,PG-13
278,The Lego Batman Movie (2017),2017,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",Warner Bros.,176,136,312,PG
279,Us (2019),2019,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,Universal Pictures,175,80,255,R
280,The Boss Baby (2017),2017,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",Twentieth Century Fox,175,353,528,PG
281,Crazy Rich Asians (2018),2018,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",Warner Bros.,175,64,239,PG-13
282,The Greatest Showman (2017),2017,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,Twentieth Century Fox,174,263,437,PG
283,Fast & Furious Presents: Hobbs & Shaw (2019),2019,"Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",Universal Pictures,174,585,759,PG-13
284,Apollo 13 (1995),1995,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Universal Pictures,174,181,355,PG
285,Home Alone 2: Lost in New York (1992),1992,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Twentieth Century Fox,174,185,359,PG
286,National Treasure (2004),2004,A historian races to find the legendary Templar Treasure before a team of mercenaries.,Walt Disney Studios Motion Pictures,173,175,348,PG
287,F9: The Fast Saga (2021),2021,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,Universal Pictures,173,553,726,PG-13
288,Air Force One (1997),1997,"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",Sony Pictures Entertainment (SPE),173,142,315,R
289,Rain Man (1988),1988,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",Metro-Goldwyn-Mayer (MGM),173,182,355,PG
290,Pirates of the Caribbean: Dead Men Tell No Tales (2017),2017,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,Walt Disney Studios Motion Pictures,173,622,795,PG-13
291,TRON: Legacy (2010),2010,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,Walt Disney Studios Motion Pictures,172,228,400,PG
292,Mary Poppins Returns (2018),2018,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",Walt Disney Studios Motion Pictures,172,178,350,PG
293,The Matrix (1999),1999,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Warner Bros.,171,295,467,R
294,True Grit (2010),2010,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Paramount Pictures,171,81,252,PG-13
295,Tarzan (1999),1999,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,Walt Disney Studios Motion Pictures,171,277,448,PG
296,John Wick: Chapter 3 - Parabellum (2019),2019,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",Lionsgate,171,156,327,R
297,A Beautiful Mind (2001),2001,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Universal Pictures,171,146,317,PG-13
298,Chicago (2002),2002,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",Miramax,171,136,307,PG-13
299,The Help (2011),2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Walt Disney Studios Motion Pictures,170,47,217,PG-13
300,Hotel Transylvania 2 (2015),2015,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",Sony Pictures Entertainment (SPE),170,305,475,PG
301,Hidden Figures (2016),2016,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Twentieth Century Fox,170,66,236,PG
302,Bridesmaids (2011),2011,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",Universal Pictures,169,119,288,R
303,Quantum of Solace (2008),2008,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,Sony Pictures Entertainment (SPE),168,421,590,PG-13
304,Wild Hogs (2007),2007,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.",Walt Disney Studios Motion Pictures,168,85,254,R
305,Kong: Skull Island (2017),2017,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",Warner Bros.,168,399,567,PG-13
306,Three Men and a Baby (1987),1987,Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.,Walt Disney Studios Motion Pictures,168,168,168,PG
307,Gone Girl (2014),2014,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Twentieth Century Fox,168,202,369,R
308,Hotel Transylvania 3: Summer Vacation (2018),2018,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",Sony Pictures Entertainment (SPE),168,361,529,PG
309,Casino Royale (2006),2006,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Sony Pictures Entertainment (SPE),167,449,617,PG-13
310,Meet the Parents (2000),2000,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",Universal Pictures,166,164,330,PG-13
311,Fifty Shades of Grey (2015),2015,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Universal Pictures,166,403,570,R
312,2012 (2009),2009,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,Sony Pictures Entertainment (SPE),166,625,791,PG-13
313,Robin Hood: Prince of Thieves (1991),1991,Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,Warner Bros.,165,225,390,PG
314,Knives Out (2019),2019,"A detective investigates the death of a patriarch of an eccentric, combative family.",Lionsgate,165,146,312,PG-13
315,Kung Fu Panda 2 (2011),2011,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",DreamWorks,165,500,666,PG
316,Hannibal (2001),2001,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.",Metro-Goldwyn-Mayer (MGM),165,187,352,R
317,Eternals (2021),2021,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",Walt Disney Studios Motion Pictures,165,237,402,PG-13
318,Catch Me If You Can (2002),2002,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",DreamWorks Distribution,165,187,352,PG-13
319,The Proposal (2009),2009,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,Walt Disney Studios Motion Pictures,164,153,317,PG-13
320,The Pursuit of Happyness (2006),2006,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Sony Pictures Entertainment (SPE),164,144,307,PG-13
321,Big Daddy (1999),1999,"A lazy law-school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",Sony Pictures Entertainment (SPE),163,71,235,PG-13
322,Clash of the Titans (2010),2010,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",Warner Bros.,163,330,493,PG-13
323,The SpongeBob Movie: Sponge Out of Water (2015),2015,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",Paramount Pictures,163,162,325,PG
324,Batman Returns (1992),1992,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",Warner Bros.,163,104,267,PG-13
325,Django Unchained (2012),2012,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",The Weinstein Company,163,263,426,R
326,A Bug's Life (1998),1998,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",Walt Disney Studios Motion Pictures,163,200,363,PG
327,Jason Bourne (2016),2016,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,Universal Pictures,162,253,415,PG-13
328,Grown Ups (2010),2010,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Sony Pictures Entertainment (SPE),162,109,271,PG-13
329,The Waterboy (1998),1998,A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.,Walt Disney Studios Motion Pictures,161,25,186,PG-13
330,Ice Age: Continental Drift (2012),2012,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",Twentieth Century Fox,161,716,877,PG
