No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
261,Madagascar: Escape 2 Africa (2008),2008,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",DreamWorks,"$180,010,950.00","$423,889,404.00","$603,900,354.00",PG
262,X-Men Origins: Wolverine (2009),2009,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",Twentieth Century Fox,"$179,883,157.00","$193,179,707.00","$373,062,864.00",PG-13
263,Indiana Jones and the Temple of Doom (1984),1984,"In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.",Paramount Pictures,"$179,870,271.00","$153,237,000.00","$333,107,271.00",PG-13
264,Hitch (2005),2005,A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.,Sony Pictures Entertainment (SPE),"$179,495,555.00","$192,098,655.00","$371,594,210.00",PG-13
265,Men in Black 3 (2012),2012,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,Sony Pictures Entertainment (SPE),"$179,020,854.00","$445,005,922.00","$624,026,776.00",PG-13
266,Pretty Woman (1990),1990,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",Walt Disney Studios Motion Pictures,"$178,406,268.00","$285,000,000.00","$463,406,268.00",R
267,Home (2015),2015,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.",Twentieth Century Fox,"$177,397,510.00","$208,644,097.00","$386,041,607.00",PG
268,Night at the Museum: Battle of the Smithsonian (2009),2009,"Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",Twentieth Century Fox,"$177,243,721.00","$235,862,449.00","$413,106,170.00",PG
269,Tootsie (1982),1982,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",Columbia Pictures,"$177,200,000.00","$177,200,000.00","$177,200,000.00",PG
270,How to Train Your Dragon 2 (2014),2014,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Twentieth Century Fox,"$177,002,924.00","$444,534,595.00","$621,537,519.00",PG
271,Rise of the Planet of the Apes (2011),2011,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,Twentieth Century Fox,"$176,760,185.00","$305,040,688.00","$481,800,873.00",PG-13
272,Captain America: The First Avenger (2011),2011,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",Paramount Pictures,"$176,654,505.00","$193,915,269.00","$370,569,774.00",PG-13
273,Elf (2003),2003,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.",New Line Cinema,"$176,630,408.00","$47,223,328.00","$223,853,736.00",PG
274,The Karate Kid (2010),2010,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",Sony Pictures Entertainment (SPE),"$176,591,618.00","$182,534,404.00","$359,126,022.00",PG
275,There's Something About Mary (1998),1998,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",Twentieth Century Fox,"$176,484,651.00","$193,400,000.00","$369,884,651.00",R
276,Ice Age (2002),2002,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.",Twentieth Century Fox,"$176,387,405.00","$206,869,731.00","$383,257,136.00",PG
277,The Bourne Supremacy (2004),2004,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Universal Pictures,"$176,241,941.00","$114,593,328.00","$290,835,269.00",PG-13
278,The Lego Batman Movie (2017),2017,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",Warner Bros.,"$175,750,384.00","$136,200,000.00","$311,950,384.00",PG
279,Us (2019),2019,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,Universal Pictures,"$175,084,580.00","$80,100,902.00","$255,185,482.00",R
280,The Boss Baby (2017),2017,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",Twentieth Century Fox,"$175,003,033.00","$352,962,903.00","$527,965,936.00",PG
281,Crazy Rich Asians (2018),2018,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",Warner Bros.,"$174,532,921.00","$64,006,277.00","$238,539,198.00",PG-13
282,The Greatest Showman (2017),2017,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,Twentieth Century Fox,"$174,340,174.00","$262,609,460.00","$436,949,634.00",PG
